SYMBOL,SERIES,ISIN,Sec Desc,STT Indicator                                                                                                             
MOLDTKPAC,W1,INE893J13016,MOLD TEK PACKAGING LTD,RE                                                                                                   
DSPN50ETF,EQ,INF740KA1CL0,DSPAMC - DSPN50ETF,EF                                                                                                       
DSPQ50ETF,EQ,INF740KA1QL0,DSPAMC - DSPQ50ETF,EF                                                                                                       
KOTAKIT,EQ,INF174KA1GC5,KOTAKMAMC - KOTAKIT,EF                                                                                                        
HDFCNIFBAN,BL,INF179KC1AN8,HDFCAMC - HDFCNIFBAN,EF                                                                                                    
ESSEN-RE1,BE,INE418N20027,INTEGRA ESSENTIA LIMITED,RE                                                                                                 
ICICINIFTY,BL,INF109K012R6,ICICI PRUD NIFTY ETF,EF                                                                                                    
ICICINV20,EQ,INF109KB1WY5,ICICI PRUDENTIAL NV20 ETF,EF                                                                                                
AURUM-RE,BL,INE898S20011,AURUM PROPTECH LIMITED,RE                                                                                                    
UTINIFTETF,BL,INF789FB1X41,UTIAMC - UTINIFTETF,EF                                                                                                     
SMF542,MF,INF903J01M36,SUNDARMAMC - SMF542,EF                                                                                                         
SMF543,MF,INF903J01M44,SUNDARMAMC - SMF543,EF                                                                                                         
SMF544,MF,INF903J01M51,SUNDARMAMC - SMF544,EF                                                                                                         
T4RD,MF,INF903J017A2,SUNDARMAMC - T4RD,EF                                                                                                             
SC2RD,MF,INF903J01X74,SUNDARMAMC - SC2RD,EF                                                                                                           
BANKBEES,EQ,INF204KB15I9,NIP IND ETF BANK BEES,EF                                                                                                     
NIFTYBEES,EQ,INF204KB14I2,NIP IND ETF NIFTY BEES,EF                                                                                                   
T5RG,MF,INF903J018C6,SUNDARMAMC - T5RG,EF                                                                                                             
MAN50ETF,BL,INF769K01EG9,MIRAEAMC - MAN50ETF,EF                                                                                                       
RUSHI-RE1,BE,INE573K20025,RUSHIL DECOR LIMITED,RE                                                                                                     
AXISBNKETF,BL,INF846K01X63,AXISAMC - AXISBNKETF,EF                                                                                                    
EC7DD,MF,INF903JA1FI5,SUNDARMAMC - EC7DD,EF                                                                                                           
EC7RG,MF,INF903JA1FF1,SUNDARMAMC - EC7RG,EF                                                                                                           
543180,MF,INF204KB17T2,Nippon India Mutual Fund,EF                                                                                                    
AXSENSEX,BL,INF846K010Q0,AXISAMC - AXSENSEX,EF                                                                                                        
SBIETFIT,EQ,INF200KA1S14,SBIAMC - SBIETFIT,EF                                                                                                         
UTINEXT50,EQ,INF789F1AUW9,UTIAMC - UTINEXT50,EF                                                                                                       
EC2RD,MF,INF903JA1CQ5,SUNDARMAMC - EC2RD,EF                                                                                                           
HDFCNIFIT,EQ,INF179KC1DX1,HDFCAMC - HDFCNIFIT,EF                                                                                                      
GODHA-RE,BE,INE925Y20010,GODHA CABCON INSULAT LTD,RE                                                                                                  
750797,BE,INE311M20018,SHRADDHA PRIME PROJECTS LTD,RE                                                                                                 
EC5DD,MF,INF903JA1EO6,SUNDARMAMC - EC5DD,EF                                                                                                           
HILTON-RE,BE,INE788H20017,HILTON METAL FORGING LIMI,RE                                                                                                
MAFSETF,EQ,INF769K01HI8,MIRAEAMC - MAFSETF,EF                                                                                                         
542807,MF,INF204KB10F6,Nippon India Mutual Fund,EF                                                                                                    
542849,MF,INF204KB15F5,Nippon India Mutual Fund,EF                                                                                                    
542816,MF,INF204KB15G3,Nippon India Mutual Fund,EF                                                                                                    
542838,MF,INF204KB16E6,Nippon India Mutual Fund,EF                                                                                                    
542847,MF,INF204KB19E0,Nippon India Mutual Fund,EF                                                                                                    
MAFANG,EQ,INF769K01HF4,MIRAEAMC - MAFANG,EF                                                                                                           
PHARMABEES,BL,INF204KC1089,NIPPONAMC - NETFPHARMA,EF                                                                                                  
AUTOBEES,BL,INF204KC1337,NIPPONAMC - NETFAUTO,EF                                                                                                      
DIVOPPBEES,EQ,INF204KA1MS3,NIP IND ETF DIV OPP,EF                                                                                                     
ICICIMOM30,EQ,INF109KC17C7,ICICIPRAMC - ICICIMOM30,EF                                                                                                 
NIFTYQLITY,EQ,INF209KB15K4,BIRLASLAMC - NIFTYQLITY,EF                                                                                                 
532985,BL,INF174KA1JD7,KOTAK MAHINDRA MUTUAL FUND,EF                                                                                                  
541972,EQ,INF200KA1VQ2,SBI Mutual Fund,EF                                                                                                             
ICICICOMMO,EQ,INF109KC19O8,ICICIPRAMC - ICICICOMMO,EF                                                                                                 
MANV30F,EQ,INF769K01JU9,MIRAEAMC - MANV30F,EF                                                                                                         
SHAREINDIA,W1,INE932X13013,SHARE IND. SECURITIES LTD,RE                                                                                               
ABFRL,W1,INE647O13016,ADITYA BIRLA FAS & RT LTD,RE                                                                                                    
EC4DG,MF,INF903JA1DP5,SUNDARMAMC - EC4DG,EF                                                                                                           
538591,MF,INF204KA1RY0,RELIANCE MUTUAL FUND - RELIANC,EF                                                                                              
543179,MF,INF204KB16T4,Nippon India Mutual Fund,EF                                                                                                    
HDFCNIFTY,BL,INF179KC1965,HDFCAMC - HDFCNIFTY,EF                                                                                                      
HDFCNIFBAN,EQ,INF179KC1AN8,HDFCAMC - HDFCNIFBAN,EF                                                                                                    
AARTI-RE,BE,INE09EO20013,AARTI SURFACTANTS LIMITED,RE                                                                                                 
M16RG,MF,INF903JA1BB9,SUNDARMAMC - M16RG,EF                                                                                                           
ICICISENSX,BL,INF346A01034,ICICI PRUD SENSEX ETF,EF                                                                                                   
ICICIBANKN,EQ,INF109KC15I8,ICICIPRAMC - IPRU5008,EF                                                                                                   
BCIL-RE,BL,INE414D20019,BHAGIRADHA CHEM & IND LTD,RE                                                                                                  
SPENCER-RE,BE,INE020820010,SPENCERS RETAIL RE,RE                                                                                                      
SM546,MF,INF903J01M77,SUNDARMAMC - SM546,EF                                                                                                           
ISMCSRIIRG,MF,INF903J01YY7,SUNDARMAMC - ISMCSRIIRG,EF                                                                                                 
SMCSRIIRD,MF,INF903J01YZ4,SUNDARMAMC - SMCSRIIRD,EF                                                                                                   
LICNFNHGP,EQ,INF767K01PC8,LICNAMC - LICNFNHGP,EF                                                                                                      
SETFNIFBK,EQ,INF200KA1580,SBI-ETF NIFTY BANK,EF                                                                                                       
EBANK,EQ,INF754K01EL1,EDELWEISS ETF-NIFTY BANK,EF                                                                                                     
KOTAKNV20,BL,INF174K01Z71,KOTAKMAMC - KTKNV20ETF,EF                                                                                                   
LICNETFSEN,EQ,INF767K01OT5,LICNAMC - LICNFESGP,EF                                                                                                     
LICNETFN50,BL,INF767K01OS7,LICNAMC - LICNFENGP,EF                                                                                                     
KOTAKNIFTY,EQ,INF174K014P6,KOTAK NIFTY ETF,EF                                                                                                         
INFRABEES,EQ,INF732E01268,NIP IND ETF INFRA BEES,EF                                                                                                   
EC3RG,MF,INF903JA1DB5,SUNDARMAMC - EC3RG,EF                                                                                                           
ABSLNN50ET,EQ,INF209KB16D7,BIRLASLAMC - ABSLNN50ET,EF                                                                                                 
RUSHI-RE1,BL,INE573K20025,RUSHIL DECOR LIMITED,RE                                                                                                     
MAM150ETF,EQ,INF769K01IC9,MIRAEAMC - MAM150ETF,EF                                                                                                     
ESSEN-RE,BL,INE418N20019,INTEGRA ESSENTIA LIMITED,RE                                                                                                  
UTIBANKETF,EQ,INF789F1AUV1,UTIAMC - UTIBANKETF,EF                                                                                                     
WOCKH-RE,BL,INE049B20017,WOCKHARDT LIMITED,RE                                                                                                         
AXSENSEX,EQ,INF846K010Q0,AXISAMC - AXSENSEX,EF                                                                                                        
SHRERA-RE,BL,INE879A20019,SHREE RAMA MULTI-TECH LTD,RE                                                                                                
INDO-RE,BE,INE227G20018,INDOWIND ENERGY LIMITED,RE                                                                                                    
ICICIB22,EQ,INF109KB15Y7,ICICIPRAMC - BHARATIWIN,EF                                                                                                   
SBIETFPB,EQ,INF200KA1S22,SBIAMC - SBIETFPB,EF                                                                                                         
REFEX-RE,BE,INE056I20017,REFEX INDUSTRIES RE,RE                                                                                                       
REFEX-RE,BL,INE056I20017,REFEX INDUSTRIES RE,RE                                                                                                       
EC2DD,MF,INF903JA1CS1,SUNDARMAMC - EC2DD,EF                                                                                                           
EC2DG,MF,INF903JA1CR3,SUNDARMAMC - EC2DG,EF                                                                                                           
