426,SGBJUN29II,IN0020210061,5808.36,10
427,SARLAPOLY,INE453D01025,44.6,20
428,AUBANK,INE949L01017,763.55,20
429,TIDEWATER,INE484C01030,1049.35,20
430,AIRAN,INE645W01026,18.1,20
431,MOREPENLAB,INE083A01026,29.9,20.02
432,SDL24BEES,INF204KB18W4,114.42,20
433,SGBAUG24,IN0020160027,5923.97,10
434,KDDL,INE291D01011,1476.05,20.51
435,IIFLSEC,INE489L01022,63,20
436,SHYAMCENT,INE979R01011,19.7,20
437,SAH,INE035801013,97.8,20
438,CREST,INE559D01011,224.65,20
439,UPL,INE628A01036,644.25,10.77
440,SGBJUL27,IN0020190081,5848.99,10
441,MARKSANS,INE750C01026,93.5,20
442,SHREYANIND,INE231C01019,191.8,100
443,SAREGAMA,INE979A01025,396.95,20
444,DAAWAT,INE818H01020,129.3,20
445,SHIVAMAUTO,INE637H01024,26.55,20
446,LINC,INE802B01019,668.2,20.53
447,INDOBORAX,INE803D01021,127.5,20
448,AETHER,INE0BWX01014,1045.9,20
449,DCAL,INE385W01011,139.25,21.51
450,SHOPERSTOP,INE498B01024,818.25,20
451,BANARISUG,INE459A01010,2735,20
452,HCC,INE549A01026,20.45,26.78
453,MAXIND,INE0CG601016,143.75,20
454,POLICYBZR,INE417T01026,696.35,20
455,CENTURYPLY,INE348B01021,673.5,20
456,HDFCLIFE,INE795G01014,672.55,11.83
457,BAJAJELEC,INE193E01025,1223.6,20
458,CLSEL,INE419D01026,166.75,20
459,NDRAUTO,INE07OG01012,965.6,100
460,NELCO,INE045B01015,764.5,20
461,RSYSTEMS,INE411H01032,423.7,20
462,ATULAUTO,INE951D01028,335.55,20
463,NETF,INF277K015R5,203.15,7.44
464,ECLERX,INE738I01010,1772.25,20
465,HIKAL,INE475B01022,310.55,20
466,NAUKRI,INE663F01024,4402.4,20
467,APARINDS,INE372A01015,3398.8,22.85
468,TRITURBINE,INE152M01016,389.85,20
469,SOUTHBANK,INE683A01023,21.2,20
470,JAIBALAJI,INE091G01018,88.2,100
471,MEGASOFT,INE933B01012,29.9,24.54
472,HOMEFIRST,INE481N01025,794.2,20
473,PUNJABCHEM,INE277B01014,871.55,20
474,HARDWYN,INE626Z01029,42.5,23.96
475,KRITI,INE479D01038,126.7,20.57
476,ALOKINDS,INE270A01029,15.9,21.16
477,SHARIABEES,INF732E01128,421.77,20
478,YAARI,INE126M01010,11.45,100
479,NILKAMAL,INE310A01015,2409.1,20
480,HCL-INSYS,INE236A01020,13.8,20
481,EVERESTIND,INE295A01018,862.15,20
482,SAKUMA,INE190H01024,13.75,22.12
483,DENORA,INE244A01016,1881.55,26.01
484,GREENPOWER,INE999K01014,11.15,24.33
485,BODALCHEM,INE338D01028,73.85,20
486,PEL,INE140A01024,937.95,20
487,COMPUSOFT,INE453B01029,21.1,23
488,GMMPFAUDLR,INE541A01023,1490,20
489,DBOL,INE0I3401014,167.85,20
490,SUMICHEM,INE258G01013,416.85,20
491,APLAPOLLO,INE702C01027,1316.8,20
492,GOODLUCK,INE127I01024,447.95,20
493,TREJHARA,INE00CA01015,68.85,100
494,PATINTLOG,INE529D01014,14.35,20.93
495,MAWANASUG,INE636A01039,97.6,21.7
496,LIBERTSHOE,INE557B01019,235.5,21.5
497,JAYNECOIND,INE854B01010,22.85,20
498,KTKBANK,INE614B01018,197.4,20
499,ORIENTCEM,INE876N01018,138.35,20
500,RAYMOND,INE301A01014,1802.3,20.09
501,ASIANENE,INE276G01015,142.65,100
502,POLYPLEX,INE633B01018,1305.8,20
503,MUNJALSHOW,INE577A01027,144,20
504,KOPRAN,INE082A01010,177.05,21.96
505,BOMDYEING,INE032A01023,113.9,20.14
506,GIPCL,INE162A01010,112.75,20
507,SGBJUL28IV,IN0020200146,5850.24,10
508,STEELXIND,INE503B01021,14.6,20.18
509,TRIVENI,INE256C01024,276.1,20
510,VAKRANGEE,INE051B01021,16.25,20.91
511,IFBAGRO,INE076C01018,565.1,20
512,PSPPROJECT,INE488V01015,730.75,20
513,JASH,INE039O01011,1220.65,20
514,SGBOCT25,IN0020170059,5840,10
515,MASTEK,INE759A01021,1961.6,20
516,CARTRADE,INE290S01011,555.95,20
517,PILITA,INE600A01035,9.15,100
518,PERSISTENT,INE262H01013,4717.9,20
519,LODHA,INE670K01029,661.8,20
520,RADICO,INE944F01028,1332.8,20
521,PANACEABIO,INE922B01023,125,20
522,HARRMALAYA,INE544A01019,134.85,20
523,RTNINDIA,INE834M01019,39.9,21.3
524,GALAXYSURF,INE600K01018,2598.1,20
525,VASCONEQ,INE893I01013,44.5,22.66
