ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF846K01B10,AXISMLD1R,DR,OMF,7.5,14.32
INF846K01B28,AXISMLDGG,GR,OMF,7.5,20.71
INF846K01B36,AXISMLDPD,DP,OMF,7.5,13.37
INF846K01B44,AXISMLDPR,DR,OMF,7.5,13.37
INF846K01B51,AXISMLGPG,GR,OMF,7.5,19.15
INF846K01R53,AXISMMDDR,DR,GMF,10,1005.61
INF846K01R46,AXISMMGPG,GR,GMF,10,1236.92
INF846K01S37,AXISNID1D,DP,OMF,7.5,16.89
INF846K01S45,AXISNID1R,DR,OMF,7.5,16.89
INF846K01S29,AXISNIDGG,GR,OMF,7.5,16.87
INF846K01S60,AXISNIDPD,DP,OMF,7.5,16.36
INF846K01S78,AXISNIDPR,DR,OMF,7.5,16.36
INF846K01S52,AXISNIGPG,GR,OMF,7.5,16.35
INF846K018K6,AXISNLDGG,GR,OMF,7.5,10.46
INF846K011L9,AXISNLGPG,GR,OMF,7.5,10.45
INF846K012K9,AXISNQDGG,GR,OMF,7.5,13.31
INF846K015K2,AXISNQGPG,GR,OMF,7.5,13.27
INF846K01J46,AXISOGDG,GR,OMF,7.5,24.01
INF846K01J87,AXISOGDPD,DP,OMF,7.5,16.42
INF846K01J95,AXISOGDPR,DR,OMF,7.5,16.42
INF846K01J79,AXISOGGPG,GR,OMF,7.5,22.29
INF846K01O56,AXISONDDR,DR,GMF,10,1000.50
INF846K01N65,AXISONDGG,GR,GMF,10,1207.30
INF846K01O23,AXISONGPG,GR,GMF,10,1204.19
INF846K01Z87,AXISQFDGG,GR,OMF,7.5,12.87
INF846K012A0,AXISQFDPD,DP,OMF,7.5,12.43
INF846K013A8,AXISQFDPR,DR,OMF,7.5,12.43
INF846K011A2,AXISQFGPG,GR,OMF,7.5,12.43
INF846K01S86,AXISRADGG,GR,OMF,7.5,14.29
INF846K01T10,AXISRADPD,DP,OMF,7.5,13.46
INF846K01T02,AXISRAGPG,GR,OMF,7.5,13.46
